extracted_text,uid,wiki_link,article_title,topic,question,model_name,model_id,generation_error
"she codes; היא קהילה ישראלית שהגיעה ב-2018 ליותר מ-20,000 מתכנתות, מהנדסות, יזמיות, נשות היי-טק ותוכנה.
הקהילה שמה לעצמה כמטרה לשלב כמה שיותר נשים בתע",ec694fbd-2f0b-497a-bbf2-33d1a764519f,https://he.wikipedia.org/wiki/She_codes;,She codes;,Technology,אילו חסמים מרכזיים מזהה הקהילה כיום בתהליך השתלבותן של נשים נוספות בתעשיית ההייטק בישראל?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"רכבת גלגלי שיניים אפיציקלית (באנגלית: Epicyclic gearing) היא אחת הקונפיגורציות האפשריות לגלגלי שיניים דיפרנציאליים, והיא מכילה (לפחות) שני גלגלי שיניי",87d1dfa4-7cbc-4698-bf77-7c230a03b630,https://he.wikipedia.org/wiki/גלגלי_שיניים_אפיציקליים,גלגלי שיניים אפיציקליים,Technology,"באילו יישומים הנדסיים מודרניים נהוג להעדיף שימוש בתמסורת פלנטרית על פני מערכות תמסורת אחרות, ומדוע?",gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"דימות תרמי (ידוע גם כרישום חום, הדמאה תרמית, תרמוגרפיה או תרמוגרפיית תת-אדום) הוא תחום מדעי פיזיקלי והנדסי העוסק בדימות, המתבצע על בסיס קליטת קרינה תת",c566b6a0-289e-4bdc-863e-80e313bd8ed0,https://he.wikipedia.org/wiki/דימות_תרמי,דימות תרמי,Technology,אילו מגבלות טכנולוגיות או סביבתיות עלולות להשפיע על רמת הדיוק של מכשירי הדימות התרמי בשימוש יומיומי?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"בקבוק הוא כלי קיבול עם צוואר פייה צר המשמש לאחסון נוזלים ועשוי לרוב זכוכית או פלסטיק, שקוף, חצי אטום או אטום.


== אטימולוגיה ==
מקור המילה בקבוק הוא ",b3a1d19c-d030-4391-8cb1-e1f2907b3aa5,https://he.wikipedia.org/wiki/בקבוק,בקבוק,Technology,מהו ההבדל המהותי בשימוש בבקבוקי זכוכית לעומת בקבוקי פלסטיק מבחינת השפעתם על איכות הנוזל המאוחסן בתוכם לאורך זמן?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
הלם מים היא תופעה של היווצרות פעימת לחץ בצנרת עקב שינוי פתאומי בזרימה. זהו גל הלם שנוצר עקב סגירה או פתיחה מהירה של מגוף. גל ההלם מתפשט בצינור ממקום ה,e3f86c0f-0f24-48f1-89cd-d64604cc3bd6,https://he.wikipedia.org/wiki/הלם_מים,הלם מים,Technology,אילו אמצעים הנדסיים מקובלים כיום בתעשייה כדי למנוע או להפחית את השפעותיו המזיקות של הלם מים במערכות מורכבות?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"פילוסופיה של המדע היא ענף בפילוסופיה, העוסקת ביסודות, ההנחות והמשמעויות הפילוסופיות של התפתחות המדעים. ענף מגוון זה, מתייחס לכלל המדעים, מדעי הטבע, כג",a4f9536d-7f3c-40e3-a46d-7adc0d86faf0,https://he.wikipedia.org/wiki/פילוסופיה_של_המדע,פילוסופיה של המדע,Science,באיזה אופן משפיעה הפילוסופיה של המדע על הדרך שבה מדענים בוחרים את שיטות המחקר שלהם בפועל?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"חוק טבע או חוק מדעי הן אמירות, המבוססות על ניסויים או תצפיות חוזרות ונשנות, המתארות או מנבאות מגוון של תופעות טבע. לפי פילוסופים מסוימים, חוקי הטבע הם",1e82bb76-2bb4-4b25-8c23-562049347b3f,https://he.wikipedia.org/wiki/חוק_טבע,חוק טבע,Science,"מה ההבדל המהותי בין ""חוק טבע"" לבין ""תיאוריה מדעית"" מבחינת דרגת הוודאות והיקף ההסבר שלהם?",gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"מדע הוא תחום ידע המתאפיין בחקירה שיטתית, לוגית ומבוססת ראיות של תופעות או מבנים מופשטים.
המונח ""מדע"" מתייחס למכלול הידע שנצבר בדרך של מחקר שיטתי, ניסו",713eda79-099d-41da-aa4b-5a8ef2a521fc,https://he.wikipedia.org/wiki/מדע,מדע,Science,כיצד משפיעה העובדה שמדע מבוסס על ראיות מתחלפות על היכולת שלנו להגיע לאמת מוחלטת וסופית?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"מדע שימושי (או מחקר יישומי - בניגוד ל-מחקר בסיסי, באנגלית Applied science) הוא מחקר מדעי המכוון לפתרון בעיה מעשית לתועלת האדם. מדע שימושי נבדל ממדע טה",12f9f79c-e763-4fea-af56-c2870289dbf6,https://he.wikipedia.org/wiki/מדע_שימושי,מדע שימושי,Science,כיצד משפיע המתח שבין מחקר בסיסי למחקר יישומי על סדרי העדיפויות ותקצוב המשאבים באקדמיה המודרנית?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
אחדות המדע או אחדות הידע (באנגלית: Unity of science) היא תזה בפילוסופיה של המדע שאומרת שכל המדעים יוצרים שלם מאוחד. מושג קרוב הוא מדע מאוחד Unified Sc,87f1d453-dc82-4e16-8302-692afe524bb3,https://he.wikipedia.org/wiki/אחדות_המדע,אחדות המדע,Science,אילו אתגרים עקרוניים מציבה הדיסציפלינה של מדעי הרוח בפני השאיפה לאחדות המדע?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"High-intensity interval training (אימון הפוגות בעצימות גבוהה) או HIIT, מהווה שיטת אימון נוספת על אימון ההפוגות הקלאסי, אסטרטגיית אימון המשלבת מחזורי א",7c8b073c-5e90-407d-b7b1-f443885dfd6b,https://he.wikipedia.org/wiki/HIIT,HIIT,Sports,מדוע דווקא שילוב של אימוני HIIT נחשב ליעיל יותר לשיפור הכושר הגופני בהשוואה לאימונים אירוביים ממושכים בקצב אחיד?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"טורניר הוא שמו של אירוע ספורטיבי בימי הביניים בו התחרו במספר מקצים של ספורטי לחימה שונים, בין שתי קבוצות יריבות או בין יחידים. הקרבות נערכו בדרך כלל ע",6706762e-cf56-4cf8-bd17-865cd1bf647b,https://he.wikipedia.org/wiki/טורניר,טורניר,Sports,אילו השלכות חברתיות או פוליטיות היו להשתתפות בטורנירים כאלו על מעמדם של האבירים בימי הביניים?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
ההיסטוריה של הספורט ראשיתה בפרה היסטוריה והמשכה עד היום. ספורט נחשב לפיתוח ואימון של מיומנויות אנושיות בסיסיות – הן למטרות תועלתניות והן לשם האימון עצ,0a10849a-1645-4417-acfc-217fc09aaf32,https://he.wikipedia.org/wiki/היסטוריה_של_הספורט,היסטוריה של הספורט,Sports,"כיצד לדעתך השתנה הערך התרבותי של הספורט במעבר מהחברות הקדומות שבהן הוא שימש למטרות קיום, לחברות המודרניות שבהן הוא משמש בעיקר לבידור ופנאי?",gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"הקשר בין מבנה האישיות לבין הצלחה בספורט הוא נושא פופולרי בחקר הפסיכולוגיה של הספורט, אך גם שנוי במחלוקת משום שטרם נמצא מודל המנבא בצורה טובה הישגים ספ",e964c731-5ae2-41c1-b3e9-020ad6ce2109,https://he.wikipedia.org/wiki/אישיות_בספורט,אישיות בספורט,Sports,"אילו תכונות אישיות ספציפיות מאפיינות לדעתך ספורטאי הישג, בהתחשב בכך שאין כיום מודל מדעי מוסכם שמנבא הצלחה בתחום?",gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"בית הדין לבוררות בספורט (באנגלית: Court of Arbitration for Sport, בראשי תיבות CAS; ובצרפתית: Tribunal arbitral du sport,‏ בראשי תיבות TAS) הוא גוף בינ",905b6a66-11fe-49c2-9655-634862002680,https://he.wikipedia.org/wiki/בית_הדין_לבוררות_בספורט,בית הדין לבוררות בספורט,Sports,אילו מקרים או סוגי סכסוכים נחשבים למורכבים ביותר להכרעה עבור בית הדין לבוררות בספורט?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"אוונגרד (בצרפתית: Avant-garde; באופן מילולי: ""משמר קדמי"") הוא מונח המתאר זרמים מהפכניים באומנות: בספרות, במוזיקה ובאמנויות הפלסטיות. משמעותו המקורית ש",d7457b31-0fbc-4835-ab45-bdd4bb658e33,https://he.wikipedia.org/wiki/אוונגרד,אוונגרד,Arts,"כיצד השפיע המושג ""אוונגרד"" על הגדרתה של אמנות איכותית בעיני הציבור הרחב לאורך השנים?",gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
