extracted_text,uid,wiki_link,article_title,topic,question,model_name,model_id,generation_error
"she codes; היא קהילה ישראלית שהגיעה ב-2018 ליותר מ-20,000 מתכנתות, מהנדסות, יזמיות, נשות היי-טק ותוכנה.
הקהילה שמה לעצמה כמטרה לשלב כמה שיותר נשים בתע",ec694fbd-2f0b-497a-bbf2-33d1a764519f,https://he.wikipedia.org/wiki/She_codes;,She codes;,Technology,כיצד משפיעה הפעילות של she codes על השתלבותן של נשים בתפקידי ניהול בכירים בתעשיית ההייטק לאורך זמן?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"רכבת גלגלי שיניים אפיציקלית (באנגלית: Epicyclic gearing) היא אחת הקונפיגורציות האפשריות לגלגלי שיניים דיפרנציאליים, והיא מכילה (לפחות) שני גלגלי שיניי",87d1dfa4-7cbc-4698-bf77-7c230a03b630,https://he.wikipedia.org/wiki/גלגלי_שיניים_אפיציקליים,גלגלי שיניים אפיציקליים,Technology,אילו יתרונות הנדסיים מציעה תצורת גלגלי שיניים אפיציקליים על פני מערכות גלגלי שיניים מסורתיות ביישומים מכניים מורכבים?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"דימות תרמי (ידוע גם כרישום חום, הדמאה תרמית, תרמוגרפיה או תרמוגרפיית תת-אדום) הוא תחום מדעי פיזיקלי והנדסי העוסק בדימות, המתבצע על בסיס קליטת קרינה תת",c566b6a0-289e-4bdc-863e-80e313bd8ed0,https://he.wikipedia.org/wiki/דימות_תרמי,דימות תרמי,Technology,"אילו אתגרים טכנולוגיים מונעים כיום משימוש נרחב בדימות תרמי ככלי אבחון רפואי שגרתי, למרות יתרונותיו הלא-פולשניים?",gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"בקבוק הוא כלי קיבול עם צוואר פייה צר המשמש לאחסון נוזלים ועשוי לרוב זכוכית או פלסטיק, שקוף, חצי אטום או אטום.


== אטימולוגיה ==
מקור המילה בקבוק הוא ",b3a1d19c-d030-4391-8cb1-e1f2907b3aa5,https://he.wikipedia.org/wiki/בקבוק,בקבוק,Technology,"באילו נסיבות היסטוריות או טכנולוגיות נוצרה המילה ""בקבוק"" בשפה העברית?",gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
הלם מים היא תופעה של היווצרות פעימת לחץ בצנרת עקב שינוי פתאומי בזרימה. זהו גל הלם שנוצר עקב סגירה או פתיחה מהירה של מגוף. גל ההלם מתפשט בצינור ממקום ה,e3f86c0f-0f24-48f1-89cd-d64604cc3bd6,https://he.wikipedia.org/wiki/הלם_מים,הלם מים,Technology,אילו השלכות הנדסיות או נזקים מבניים עלולים להיגרם למערכת צנרת כתוצאה מהישנות חוזרת של תופעת הלם המים?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"פילוסופיה של המדע היא ענף בפילוסופיה, העוסקת ביסודות, ההנחות והמשמעויות הפילוסופיות של התפתחות המדעים. ענף מגוון זה, מתייחס לכלל המדעים, מדעי הטבע, כג",a4f9536d-7f3c-40e3-a46d-7adc0d86faf0,https://he.wikipedia.org/wiki/פילוסופיה_של_המדע,פילוסופיה של המדע,Science,כיצד לדעתך משפיעה הפילוסופיה של המדע על הדרך שבה מדענים בוחרים את תחומי המחקר שלהם בפועל?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"חוק טבע או חוק מדעי הן אמירות, המבוססות על ניסויים או תצפיות חוזרות ונשנות, המתארות או מנבאות מגוון של תופעות טבע. לפי פילוסופים מסוימים, חוקי הטבע הם",1e82bb76-2bb4-4b25-8c23-562049347b3f,https://he.wikipedia.org/wiki/חוק_טבע,חוק טבע,Science,כיצד משתנה המעמד האפיסטמולוגי של חוקי הטבע כאשר עוברים מהתפיסה המדעית האמפירית לפרשנויות פילוסופיות מופשטות יותר?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"מדע הוא תחום ידע המתאפיין בחקירה שיטתית, לוגית ומבוססת ראיות של תופעות או מבנים מופשטים.
המונח ""מדע"" מתייחס למכלול הידע שנצבר בדרך של מחקר שיטתי, ניסו",713eda79-099d-41da-aa4b-5a8ef2a521fc,https://he.wikipedia.org/wiki/מדע,מדע,Science,באילו דרכים משתנה תהליך המחקר המדעי כשהוא נדרש להתמודד עם תופעות שאינן ניתנות למדידה כמותית או להוכחה ניסויית ישירה?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"מדע שימושי (או מחקר יישומי - בניגוד ל-מחקר בסיסי, באנגלית Applied science) הוא מחקר מדעי המכוון לפתרון בעיה מעשית לתועלת האדם. מדע שימושי נבדל ממדע טה",12f9f79c-e763-4fea-af56-c2870289dbf6,https://he.wikipedia.org/wiki/מדע_שימושי,מדע שימושי,Science,באילו דרכים ניתן להבטיח שמחקר בעל אופי יישומי לא יבוא על חשבון פיתוח ידע מדעי בסיסי וחדשני בטווח הארוך?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
אחדות המדע או אחדות הידע (באנגלית: Unity of science) היא תזה בפילוסופיה של המדע שאומרת שכל המדעים יוצרים שלם מאוחד. מושג קרוב הוא מדע מאוחד Unified Sc,87f1d453-dc82-4e16-8302-692afe524bb3,https://he.wikipedia.org/wiki/אחדות_המדע,אחדות המדע,Science,"באילו דרכים מעשיות עשויה לבוא לידי ביטוי האחדות הזו בתחומי מחקר שונים, והאם היא נחשבת כיום למטרה אפשרית להשגה או רק לאידיאל תיאורטי?",gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
