extracted_text,uid,wiki_link,article_title,topic,question,model_name,model_id,generation_error
"הגישה לשיעורים היא דרך המערכת הממוחשבת, she codes; connect. בארגון יש מעל 200 חברות צוות המתפעלות את המערכת בהתנדבות.
בסוף 2017, השיקו משרד העבודה והר",ec694fbd-2f0b-497a-bbf2-33d1a764519f,https://he.wikipedia.org/wiki/She_codes;,She codes;,Technology,אילו אתגרים עומדים בפני צוות המתנדבות בניהול מערכת הכוללת מעל 200 חברות צוות וגישה לשיעורים עבור מספר גדול של משתמשות?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"נקודה על השפה של גלגל הפלנטה יוצרת, כאשר היא נעה, עקום אפיציקלואידי.
גלגלי שיניים אפיציקליים קיבלו את שמם מן היישום המוקדם ביותר שלהם, שהוא מידול התנו",87d1dfa4-7cbc-4698-bf77-7c230a03b630,https://he.wikipedia.org/wiki/גלגלי_שיניים_אפיציקליים,גלגלי שיניים אפיציקליים,Technology,באילו תחומים הנדסיים מודרניים נעשה שימוש בגלגלי שיניים אפיציקליים מעבר למידול תנועת כוכבי לכת?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"דימות תרמי (ידוע גם כרישום חום, הדמאה תרמית, תרמוגרפיה או תרמוגרפיית תת-אדום) הוא תחום מדעי פיזיקלי והנדסי העוסק בדימות, המתבצע על בסיס קליטת קרינה תת",c566b6a0-289e-4bdc-863e-80e313bd8ed0,https://he.wikipedia.org/wiki/דימות_תרמי,דימות תרמי,Technology,באילו תחומים מקצועיים או תעשיות נעשה כיום השימוש הנרחב ביותר בטכנולוגיית הדימות התרמי כדי לשפר את הבטיחות או יעילות העבודה?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"כיום מוחלף השעם לעיתים בחומר פלסטי.
פקק שואב אוויר - לאטימת בקבוקי יין לאחר שימוש חלקי.
פקק ספורט - ניתן לפתיחה באמצעות השיניים בלבד. משווק כמיועד לספ",b3a1d19c-d030-4391-8cb1-e1f2907b3aa5,https://he.wikipedia.org/wiki/בקבוק,בקבוק,Technology,"באילו מקרים או סוגי יינות מומלץ להעדיף פקק שעם טבעי על פני הפקק הפלסטי, והאם יש לכך השפעה ממשית על תהליך היישון של היין בבקבוק?",gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"אם השינוי מתרחש בזמן הארוך בערך פי חמישה מהזמן הקריטי, ההשפעה זניחה. כדי להעריך את ההשפעה בזמן הקרוב לזמן הקריטי הפתרון הוא גרפי - אנליטי ואו פתרון נו",e3f86c0f-0f24-48f1-89cd-d64604cc3bd6,https://he.wikipedia.org/wiki/הלם_מים,הלם מים,Technology,באילו מקרים מעשיים או בתחומי הנדסה ספציפיים משתמשים בפתרון הגרפי-אנליטי במקום בשיטות חישוב נומריות מדויקות יותר?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
עקרון ההפרכה הוא הפתרון של פופר לבעיית האינדוקציה - בעוד שלא ניתן להגיע מאף מקרה למסקנה כוללנית (אינדוקציה) הרי שאפשר לשלול טענה או קביעה על ידי הפרכה,a4f9536d-7f3c-40e3-a46d-7adc0d86faf0,https://he.wikipedia.org/wiki/פילוסופיה_של_המדע,פילוסופיה של המדע,Science,אילו אתגרים עשויים להתעורר ביישום עקרון ההפרכה של פופר במדעי החברה לעומת מדעי הטבע?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"לדוגמה, החוק השלישי של ניוטון קובע שלכל כוח שמפעיל גוף אחד על גוף אחר מופעל כוח נגדי שווה בגודלו אך הפוך בכיוונו. הצורה השנייה היא כחוק הסתברותי הקובע",1e82bb76-2bb4-4b25-8c23-562049347b3f,https://he.wikipedia.org/wiki/חוק_טבע,חוק טבע,Science,כיצד משפיע החוק השלישי של ניוטון על היציבות של מבנים מורכבים במצבים שבהם פועלים עליהם כוחות חיצוניים משתנים?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
לואי פסטר (1822–1895): אבי המיקרוביולוגיה המודרנית והאימונולוגה. דמיטרי מנדלייב (1834–1907): יצירת הטבלה המחזורית של היסודות. אנטואן לבואזיה (1743–179,713eda79-099d-41da-aa4b-5a8ef2a521fc,https://he.wikipedia.org/wiki/מדע,מדע,Science,אילו קשיים או התנגדויות נאלצו מדענים אלו להתמודד מול הקהילה המדעית בתקופתם לאחר שהציגו את תגליותיהם?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"יש לה גם קשר לפיתוחים טכנולוגיים כמו מנוע הקיטור, מנוע הבעירה הפנימית, קריוגניקה וייצור חשמל. ההשלכות של תרנודינמיקה על תחומים אחרים ממשיכות להחקר במס",12f9f79c-e763-4fea-af56-c2870289dbf6,https://he.wikipedia.org/wiki/מדע_שימושי,מדע שימושי,Science,אילו אתגרים תיאורטיים או מעשיים בתחום האנרגיה המודרנית עדיין נותרו ללא פתרון מלא למרות הבנתנו העמוקה בחוקי התרמודינמיקה?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
מושג קרוב הוא מדע מאוחד Unified Science - מושג שיש לו משמעויות שונות כמו קשרים בין המדעים או ניסיון לאחד אותם לשפה משותפת. ניתן לסווג את הווריאציות של,87f1d453-dc82-4e16-8302-692afe524bb3,https://he.wikipedia.org/wiki/אחדות_המדע,אחדות המדע,Science,באילו כלים או מתודולוגיות מודרניות מנסים חוקרים כיום ליצור שפה משותפת בין תחומי מדע רחוקים זה מזה?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"טימונס סבור כי מגמות השיפור נובעות מכך שאימון HIIT משתמש בכ-80% משרירי הגוף, בעוד ריצה קלה ודיווש על אופניים משתמשים בכ-40%.


=== מחלות קרדיו-ואסקולר",7c8b073c-5e90-407d-b7b1-f443885dfd6b,https://he.wikipedia.org/wiki/HIIT,HIIT,Sports,"אילו יתרונות בריאותיים נוספים עשויים לנבוע מהפעלת אחוז גבוה יותר של שרירי הגוף במהלך אימון אינטנסיבי, מעבר לשיפור בכושר הגופני הכללי?",gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"מסביב לזירת הטורניר התקבצו סוחרים, אומנים, פייטנים ובעלי מלאכה שהציעו שירותים שונים וניצלו את הטורניר להציע את מרכולתם.
לגבי האבירים המשתתפים בו היה ה",6706762e-cf56-4cf8-bd17-865cd1bf647b,https://he.wikipedia.org/wiki/טורניר,טורניר,Sports,אילו שיקולים כלכליים או חברתיים גרמו לאנשים ממעמדות שונים כל כך להתקבץ דווקא סביב אירוע המיועד לאבירים?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"הילידים בהוואי התעסקו במשחקים וספורט עוד לפני הגעת האירופאים לאזור, כגון משחק דמוי-לקרוס, ריצה ופעילויות אתלטיות אחרות. בני המאיה והאצטקים עסקו אף הם ",0a10849a-1645-4417-acfc-217fc09aaf32,https://he.wikipedia.org/wiki/היסטוריה_של_הספורט,היסטוריה של הספורט,Sports,כיצד השפיעו המפגשים עם התרבות האירופית על השינויים שחלו באופי המשחקים והספורט המסורתיים של עמי האזור לאחר מכן?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"אלו מביאים להיעדר קונפליקטים פנימיים בין האישיות לעיסוק הספורטיבי.
במחקרים נמצא כי ספורטאים צעירים שניחנו בתכונות כגון: חברתיות, יציבות רגשית, אמביציה",e964c731-5ae2-41c1-b3e9-020ad6ce2109,https://he.wikipedia.org/wiki/אישיות_בספורט,אישיות בספורט,Sports,כיצד משפיעה האינטראקציה בין תכונות אישיות אלו לבין דרישות הסביבה התחרותית על היכולת של הספורטאי להתמיד לאורך זמן בקריירה מקצוענית?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"עם זאת, בקונגרס אופ""א שנערך לאחר מכן נדחתה בקשת החברות של גיברלטר ברוב גדול בעקבות מסע שתדלנות של ספרד, וזאת על אף החלטתו של בית הדין. במקרה אחר, ב-20",905b6a66-11fe-49c2-9655-634862002680,https://he.wikipedia.org/wiki/בית_הדין_לבוררות_בספורט,בית הדין לבוררות בספורט,Sports,"מה היו הנימוקים העיקריים שבהם השתמשה ספרד כדי לשכנע את חברות אופ""א לדחות את בקשתה של גיברלטר למרות הפסיקה המשפטית לטובתה?",gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"אמני אוונגרד משתמשים לעיתים בתבניות נגינה לא שגרתיות בעת הלחנת הנגינה. מקצבי זמן משתנים, שירה לא שגרתית ואף צלילים ואקורדים דיסוננטיים וסולמות חריגים.",d7457b31-0fbc-4835-ab45-bdd4bb658e33,https://he.wikipedia.org/wiki/אוונגרד,אוונגרד,Arts,אילו השפעות תרבותיות או פילוסופיות הובילו אמני אוונגרד לאמץ דווקא את השימוש באלמנטים של דיסוננס ואי-סדירות ביצירותיהם?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"אִלתור, או מלועזית: אימפּרוֹביזציה (Improvisation, או בקיצור Improv - אימפרוב), הוא הפעולה של יצירת דבר חדש ושונה במשך תקופת זמן מסוימת ללא תכנון מקדי",9e4f4b6f-cd1e-4e17-8819-bdd5dcd6d299,https://he.wikipedia.org/wiki/אלתור,אלתור,Arts,מהם ההבדלים המהותיים בין אילתור אמנותי לבין אילתור בפתרון בעיות מעשיות בחיי היומיום?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"תת-סעיף זה מנוסח באופן רחב, ותחולתו מובהרת בהמלצה מס׳ 190 של ה-ILO כך:

עבודה החושפת ילדים לפגיעה פיזית, פסיכולוגית או מינית.
עבודה המצויה מתחת לפני ה",4669c583-b81c-4fc1-8ecd-afda57242e4b,https://he.wikipedia.org/wiki/אמנה_182_לביעור_צורות_העסקה_חמורות_של_ילדים,אמנה 182 לביעור צורות העסקה חמורות של ילדים,Arts,אילו מנגנוני פיקוח או אכיפה מציעה המלצה מס׳ 190 כדי להבטיח שהגנה זו אכן מיושמת בפועל בשוק העבודה?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
"שילוב זה מסמן את אלוהים כאדם. מרים לובשת בגד כחול ומעליו בגד אדום, שילוב המסמל מתנות אלוהיות שניתנו לאנושות.

צבע צהוב באמנות המסמל פחדנות ובגידה. יסמ",68845084-8ea2-4de4-8fee-ef08f5bf20c2,https://he.wikipedia.org/wiki/אטריבוט_(אמנות),אטריבוט (אמנות),Arts,באילו נסיבות היסטוריות או תרבותיות התקבע הצבע הצהוב דווקא כסמל לבגידה באמנות המערבית?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,
